Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,566,1337,13,5,3,2,2,2.24,150,333,483
Zero-shot,default,566,1166,9,4,4,2,2,2.04,150,284,434
Zero-shot,creative,566,679,8,3,2,1,2,1.52,150,167,317
Few-shot,precise,1458,2084,15,7,3,2,2,3.39,336,512,848
Few-shot,default,1458,1627,14,5,3,2,1,2.51,336,395,731
Few-shot,creative,1458,2038,14,5,4,3,1,3.22,336,506,842
Chain-of-Thought,precise,1625,962,12,5,3,2,2,1.91,380,259,639
Chain-of-Thought,default,1625,1196,13,5,3,2,1,2.54,380,312,692
Chain-of-Thought,creative,1625,1181,14,5,3,1,1,2.29,380,304,684
Self-Consistency,precise,1240,2547,22,7,4,2,2,4.39,275,627,902
Self-Consistency,default,1240,1668,18,6,3,2,1,2.79,275,420,695
Self-Consistency,creative,1240,1708,17,6,2,2,1,2.79,275,405,680
System Prompt,precise,782,2093,9,4,5,1,1,3.23,189,499,688
System Prompt,default,782,2871,9,4,4,2,3,4.05,189,622,811
System Prompt,creative,782,2063,9,4,4,1,2,3.13,189,481,670
Role Prompt,precise,1037,2883,20,10,3,1,1,4.20,229,634,863
Role Prompt,default,1037,1846,18,8,4,1,1,3.10,229,458,687
Role Prompt,creative,1037,1906,18,8,3,1,1,3.06,229,438,667
Contextual,precise,765,1895,20,10,4,2,2,3.15,181,471,652
Contextual,default,765,1525,16,8,3,2,2,2.43,181,360,541
Contextual,creative,765,2414,17,8,4,2,2,4.08,181,560,741
Tree of Thoughts,precise,1721,971,11,5,2,2,1,1.86,391,242,633
Tree of Thoughts,default,1721,1069,11,5,3,2,1,1.84,391,249,640
Tree of Thoughts,creative,1721,1038,11,5,2,1,1,1.86,391,253,644
ReAct,precise,1787,927,9,3,3,2,1,1.65,429,217,646
ReAct,default,1787,941,9,3,3,2,1,1.85,429,223,652
ReAct,creative,1787,1941,18,6,4,2,1,4.32,429,450,879
